OBJECTID,InclProb,X,Y,ID
1,0.684492469,350581.5,5819756,4
2,0.299526483,354976.5,5807081,5
3,1,356221.5,5833136,11
4,1,364411.5,5814026,12
5,0.241145805,356911.5,5806796,13
6,1,365221.5,5828141,14
7,1,365431.5,5825066,16
8,0.256631881,380746.5,5813891,18
9,0.775971174,351811.5,5819966,19
10,1,359431.5,5826851,20
11,0.761173248,354091.5,5814356,21
12,1,368026.5,5823056,22
13,1,360451.5,5821121,23
14,1,364261.5,5830391,25
15,0.523707151,355861.5,5815196,27
16,0.17232427,354826.5,5815076,28
17,1,365431.5,5819831,29
18,0.786387563,353251.5,5803301,30
19,0.048154775,371956.5,5819831,32
20,1,359431.5,5813666,35
21,1,358681.5,5833556,36
22,0.790545821,349981.5,5816846,37
23,1,361036.5,5837096,40
24,1,379891.5,5815256,41
25,1,361141.5,5825066,43
26,1,381691.5,5811611,45
27,0.766163766,353791.5,5821526,46
28,0.796589017,381826.5,5820881,47
29,1,361441.5,5827646,48
30,0.666485906,351931.5,5813291,49
31,1,369541.5,5822426,50
32,1,358426.5,5836436,52
33,1,363451.5,5832521,55
34,1,364006.5,5822246,57
35,0.319182813,357136.5,5818601,60
36,0.314273566,354346.5,5806106,61
37,0.054656409,363526.5,5804006,62
38,1,357961.5,5823371,65
39,0.049868993,373171.5,5825591,68
40,0.070568375,359626.5,5836271,69
41,0.049814586,380926.5,5815136,70
42,1,363991.5,5827706,71
43,1,363361.5,5823701,75
44,1,375241.5,5813741,77
45,1,361396.5,5837771,78
46,1,354721.5,5820281,79
47,1,368641.5,5833871,80
48,1,359596.5,5828396,83
49,0.241383925,354706.5,5811236,85
50,1,367291.5,5825306,86
51,1,374371.5,5819726,88
52,1,350701.5,5823986,89
53,1,355246.5,5818856,93
54,1,360796.5,5814671,95
55,0.423858881,349336.5,5815691,96
56,0.048015725,358756.5,5825486,97
57,1,361966.5,5835566,99
58,1,363211.5,5828231,100
59,1,352981.5,5846126,101
60,0.085948296,356551.5,5813006,102
61,0.047385596,383431.5,5809691,104
62,1,366391.5,5814836,105
63,0.786634803,349726.5,5811326,106
64,1,360271.5,5825426,107
65,1,358801.5,5839961,108
66,1,379786.5,5811551,109
67,0.631751418,369226.5,5831081,110
68,0.536430657,351166.5,5812286,111
69,0.053941797,366646.5,5804276,115
70,0.255737722,358786.5,5817326,119
71,0.047725521,379756.5,5809706,121
72,0.707528234,353506.5,5817131,122
73,0.047800247,370981.5,5801531,125
74,1,363046.5,5814206,127
75,0.048670482,388321.5,5809571,129
76,0.071594507,363016.5,5807726,132
77,1,365386.5,5825531,135
78,0.069481663,355096.5,5846876,136
79,0.226195857,376561.5,5823686,138
80,1,359326.5,5837906,140
81,0.05225499,381526.5,5814536,142
82,0.302169055,367426.5,5833106,143
83,1,375076.5,5809361,144
84,0.420640856,370786.5,5830526,145
85,1,367456.5,5823911,146
86,0.055012524,372091.5,5815151,147
87,0.047964465,363121.5,5830901,149
88,0.73041749,353401.5,5802461,150
89,0.0904231,366406.5,5819216,153
90,1,367951.5,5828591,157
91,1,370396.5,5826776,158
92,0.640535653,350491.5,5817806,159
93,0.136883065,372571.5,5811341,160
94,1,362356.5,5836091,162
95,1,353041.5,5825171,164
96,1,365401.5,5827631,166
97,0.508081555,362821.5,5801891,167
98,1,361336.5,5825741,169
